taxon_input,accepted_name,aphia_id,rank,taxon_status,functional_role_str,pocillopora_association,max_length_mm,depth_min_m,depth_max_m,range_summary,n_sources,notes
Actaeodes hirsutissimus,Actaeodes hirsutissimus,209051.0,species,accepted,unknown,unknown,,,,unknown,1,
Alpheopsis aequalis,Alpheopsis aequalis,220235.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus clypeatus,Alpheus clypeatus,210529.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus collumianus,Alpheus collumianus,210504.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus diadema,Alpheus diadema,210518.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus dolerus,Alpheus dolerus,514864.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus gracilipes,Alpheus gracilipes,210514.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus lottini,Alpheus lottini,210544.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus obesomanus,Alpheus obesomanus,210535.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus pachychirus,Alpheus pachychirus,210547.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus paracrinitus,Alpheus paracrinitus,210522.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus parvirostris,Alpheus parvirostris,210506.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus roseodigitalis,Alpheus roseodigitalis,514959.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus sizou,Alpheus sizou,514966.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus staphylinus,Alpheus staphylinus,514973.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Alpheus strenuus,Alpheus strenuus,210517.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Amphipholis squamata,Amphipholis squamata,125064.0,species,accepted,unknown,unknown,,,,unknown,1,
Anarithma metula,Anarithma metula,594417.0,species,accepted,unknown,unknown,,,,unknown,1,
Antennatus tuberosus,Antennatus tuberosus,217855.0,species,accepted,unknown,unknown,,,,unknown,1,
Apataxia cerithiiformis,Apataxia cerithiiformis,871015.0,species,accepted,unknown,unknown,,,,unknown,1,
Arete indicus,Arete indicus,221011.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Astralium confragosum,Astralium confragosum,581743.0,species,accepted,unknown,unknown,,,,unknown,1,
Athanas areteformis,Athanas areteformis,210463.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Athanas djiboutensis,Athanas djiboutensis,210466.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Athanas marshallensis,Athanas marshallensis,210468.0,species,accepted,commensal; bioeroder,facultative,,,,unknown,1,
Bittium glareosum,Bittium glareosum,207905.0,species,accepted,unknown,unknown,,,,unknown,1,
Bittium impendens,Bittium impendens,473076.0,species,accepted,unknown,unknown,,,,unknown,1,
Breviturma dentata,Breviturma dentata,1214745.0,species,accepted,unknown,unknown,,,,unknown,1,
Breviturma pica,Breviturma pica,1306674.0,species,accepted,unknown,unknown,,,,unknown,1,
Bulla orientalis,Bulla orientalis,510402.0,species,accepted,unknown,unknown,,,,unknown,1,
Caducifer decapitatus,Caducifer decapitatus,490878.0,species,accepted,unknown,unknown,,,,unknown,1,
