taxon_input,accepted_name,aphia_id,rank,taxon_status,functional_role_str,pocillopora_association,max_length_mm,depth_min_m,depth_max_m,n_obis_records,range_summary,n_sources,notes
Actaeodes hirsutissimus,Actaeodes hirsutissimus,209051.0,species,accepted,unknown,unknown,,,,0,unknown,2, OBIS queried; no depth data available.
Alpheopsis aequalis,Alpheopsis aequalis,220235.0,species,accepted,commensal; bioeroder,facultative,,,,0,unknown,2, OBIS queried; no depth data available.
Alpheus clypeatus,Alpheus clypeatus,210529.0,species,accepted,commensal; bioeroder,facultative,,,,0,unknown,2, OBIS queried; no depth data available.
Alpheus collumianus,Alpheus collumianus,210504.0,species,accepted,commensal; bioeroder,facultative,,,3.0,1,unknown,2, Depth from OBIS (1 occurrence records).
Alpheus diadema,Alpheus diadema,210518.0,species,accepted,commensal; bioeroder,facultative,,3.0,5.0,1,unknown,2, Depth from OBIS (1 occurrence records).
Alpheus dolerus,Alpheus dolerus,514864.0,species,accepted,commensal; bioeroder,facultative,,,,0,unknown,2, OBIS queried; no depth data available.
Alpheus gracilipes,Alpheus gracilipes,210514.0,species,accepted,commensal; bioeroder,facultative,,,2.0,1,unknown,2, Depth from OBIS (1 occurrence records).
Alpheus lottini,Alpheus lottini,210544.0,species,accepted,commensal; bioeroder,facultative,,1.0,8.0,2,unknown,2, Depth from OBIS (2 occurrence records).
Alpheus obesomanus,Alpheus obesomanus,210535.0,species,accepted,commensal; bioeroder,facultative,,,,0,unknown,2, OBIS queried; no depth data available.
Alpheus pachychirus,Alpheus pachychirus,210547.0,species,accepted,commensal; bioeroder,facultative,,0.3,24.0,2,unknown,2, Depth from OBIS (2 occurrence records).
Alpheus paracrinitus,Alpheus paracrinitus,210522.0,species,accepted,commensal; bioeroder,facultative,,1.5,17.0,4,unknown,2, Depth from OBIS (4 occurrence records).
Alpheus parvirostris,Alpheus parvirostris,210506.0,species,accepted,commensal; bioeroder,facultative,,,,0,unknown,2, OBIS queried; no depth data available.
Alpheus roseodigitalis,Alpheus roseodigitalis,514959.0,species,accepted,commensal; bioeroder,facultative,,0.0,0.0,1,unknown,2, Depth from OBIS (1 occurrence records).
Alpheus sizou,Alpheus sizou,514966.0,species,accepted,commensal; bioeroder,facultative,,,,0,unknown,2, OBIS queried; no depth data available.
Alpheus staphylinus,Alpheus staphylinus,514973.0,species,accepted,commensal; bioeroder,facultative,,0.0,3.0,1,unknown,2, Depth from OBIS (1 occurrence records).
Alpheus strenuus,Alpheus strenuus,210517.0,species,accepted,commensal; bioeroder,facultative,,0.5,24.3,2,unknown,2, Depth from OBIS (2 occurrence records).
Amphipholis squamata,Amphipholis squamata,125064.0,species,accepted,unknown,unknown,,0.0,378.0,9,unknown,2, Depth from OBIS (9 occurrence records).
Anarithma metula,Anarithma metula,594417.0,species,accepted,unknown,unknown,,62.0,111.0,4,unknown,2, Depth from OBIS (4 occurrence records).
Antennatus tuberosus,Antennatus tuberosus,217855.0,species,accepted,unknown,unknown,,0.0,27.72,3,unknown,2, Depth from OBIS (3 occurrence records).
Apataxia cerithiiformis,Apataxia cerithiiformis,871015.0,species,accepted,unknown,unknown,,,,0,unknown,2, OBIS queried; no depth data available.
Arete indicus,Arete indicus,221011.0,species,accepted,commensal; bioeroder,facultative,,,,0,unknown,2, OBIS queried; no depth data available.
Astralium confragosum,Astralium confragosum,581743.0,species,accepted,unknown,unknown,,,,0,unknown,2, OBIS queried; no depth data available.
Athanas areteformis,Athanas areteformis,210463.0,species,accepted,commensal; bioeroder,facultative,,2.0,,1,unknown,2, Depth from OBIS (1 occurrence records).
Athanas djiboutensis,Athanas djiboutensis,210466.0,species,accepted,commensal; bioeroder,facultative,,0.0,0.0,2,unknown,2, Depth from OBIS (2 occurrence records).
Athanas marshallensis,Athanas marshallensis,210468.0,species,accepted,commensal; bioeroder,facultative,,0.0,18.0,5,unknown,2, Depth from OBIS (5 occurrence records).
Bittium glareosum,Bittium glareosum,207905.0,species,accepted,unknown,unknown,,,,0,unknown,2, OBIS queried; no depth data available.
Bittium impendens,Bittium impendens,473076.0,species,accepted,unknown,unknown,,,,0,unknown,2, OBIS queried; no depth data available.
Breviturma dentata,Breviturma dentata,1214745.0,species,accepted,unknown,unknown,,0.0,15.0,9,unknown,2, Depth from OBIS (9 occurrence records).
Breviturma pica,Breviturma pica,1306674.0,species,accepted,unknown,unknown,,2.0,14.0,9,unknown,2, Depth from OBIS (9 occurrence records).
Bulla orientalis,Bulla orientalis,510402.0,species,accepted,unknown,unknown,,1.5,1.5,1,unknown,2, Depth from OBIS (1 occurrence records).
