,,,,,,,,,,,,,,,,,,,,,,,,,OBL,OBL,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,OBL,OBL,OBL,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,OBL,FAC,FAC,FAC,FAC,FAC,FAC,FAC,FAC
Functional groups,,,,,,,,,,,,,,,Pomacentridae,Pomacentridae,Pomacentridae,Pomacentridae,Pomacentridae,,,,,,Alpheidae (obl),Alpheidae (obl),Alpheidae (fac),Alpheidae (fac),Alpheidae (fac),Alpheidae (fac),Alpheidae (fac),Alpheidae (fac),Alpheidae (fac),Alpheidae (fac),Alpheidae (fac),Alpheidae (fac),Alpheidae (fac),Alpheidae (fac),,,,,Galatheidae,Galatheidae,,,,Palaemonidae (obl),Palaemonidae (obl),Palaemonidae (obl),,,Palaemonidae (obl),,,,,,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,,,,,,,,,,,
Family,Acanthuridae,Acanthuridae,Antennariidae,Apogonidae,Balistidae,Chaetodontidae,Cirrhitidae,Cirrhitidae,Gobiidae,Gobiidae,Gobiidae,Holocentridae,Labridae,Labridae,Pomacentridae,Pomacentridae,Pomacentridae,Pomacentridae,Pomacentridae,Scorpaenidae,Scorpaenidae,Scorpaenidae,Scorpaenidae,,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Alpheidae,Axiidae,Epialtidae,Epialtidae,Epialtidae,Galatheidae,Galatheidae,hyppolitidae,hyppolitidae,hyppolitidae,Palaemonidae,Palaemonidae,Palaemonidae,Palaemonidae,Palaemonidae,Palaemonidae,Palaemonidae,Pilumnidae,Porcellanidae,Portunidae,Portunidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Trapeziidae,Xanthidae,Xanthidae,Xanthidae,Xanthidae,Xanthidae,Xanthidae,Xanthidae,Xanthidae,Xanthidae,Xanthidae,Xanthidae
Genus,Acanthurus,Acanthurus,Antennarius,Ostorhinchus,Pseudobalistes,Chaetodon,Paracirrhites,Neocrrhites,Paragobiodon,Eviota,Asterropteryx,Sargocentron,Thalassoma,Stethojulis,Dascyllus,Dascyllus,Chromis,Pomacentrus,Pomacentrus,Sebastapistes,Sebastapistes,Caracanthus,Pterois sp,,Alpheus,Synalpheus,Athanas,Arete,Alpheus,Alpheus,Alpheus,Alpheopsis,Synalpheus,Alpheus,Alpheus,Synalpheus,Alpheus,Alpheus,Calaxius,Manaethuis,Perinia,Manaethuis,Galathea,Phylladiorhynchus,Saron,Thor,Thor,Harpiliopsis,Harpiliopsis,Fennera,Chlorocurtis,Cuapetes,Periclimenes,Onycocaris,Pilumnus,Petrolisthes,Thalamita,Thalamita,Trapezia,Trapezia,Trapezia,Trapezia,Trapezia,Trapezia,Trapezia,Trapezia,Trapezia,Domecia,Cymo,Cymo,Pilodius,Pseudoliomera,Liomera,Chlorodiella,Macromedaeus sp,Pilodius,Platypodia,Xanthias
ttt,Acanthurus sp,Acanthurus black,A.coccineus,O.angustatus,P.flavimarginatus,C.citrinellus,ArcEyeHawk,N.armatus,P.modestus,Eviota sp.,A.semipunctata,Sargocentron sp,T.hardwicke,S. bandanensis,D.flavi,D.aruanus,C.viridis,P.pavo,Pomacentrus sp.,S.tinkhami,S.fowleri,C.maculatus,Pterois sp,,A.lottini,S.charon,A.djiboutensis,A.indicus,A.collumianus,A.parvirostris,A.dolerus,A.equalis,S.gracilirostris,Alpheus sp.,A.pachychirus,S.tumidomanus,A.diadema,A.sizou,Calaxius sp.,M.monoceros,P.tumida,M.orientalis,Galathea mauritiana,Phylladiorhynchus sp,S.marmoratus,Thor paschalis,T.amboinensis,H.spinigera,H.depressa,Fennera chacei,C.jactans,C. cf. ensifrons,P.gonioporae,Onycocaris sp1,P.tahitensis,Petrolisthes sp.,Thalamita admete,T.coeruleipes,T.tigrina,T.speciosa,T.bella,T.serenei,T.rufo,T.guttata,T.bidentata,T.areolata,T.flavo,D. hispida,Cymo sp,Cymo quadri,Pilodius paumotensis,P.speciosa,L.monticulosa,C.laevissima,Macromedaeus nudipes,P.pugil,Platypodia semigranosa,X.lamarcki
1CC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,4,0,0,0,0,0,0,0,,3,2,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,17,0,0,0,1,0,3,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1CC,0,0,2,0,0,0,0,0,0,1,0,0,1,0,4,2,0,1,0,0,0,0,0,,5,1,3,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,26,0,0,0,0,18,0,0,0,0,8,0,0,0,4,0,2,5,0,5,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0
1CC,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,19,2,0,0,2,6,0,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1CC,1,0,0,0,0,2,0,0,2,0,0,0,0,0,19,0,0,2,0,0,0,0,0,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,1,37,2,0,0,0,48,0,0,0,1,0,0,0,0,13,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0
1CC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,0,0,0,0,5,1,0,0,0,7,0,0,0,1,0,2,0,0,15,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0
1CC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,,4,0,17,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,24,0,0,7,1,34,3,3,0,0,10,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
