"","master_sort","old_sort","coral_id","site","code","type","search_term","lowest_level","cafi_size_mm","measurement","alt_size_mm","alt_measurement","extraction_method","photo_num","id_certainty","general_notes","identification_notes","revised_yn","revision_date","identified_by","revised_by","previous_name","worms_id","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","genus","species"
"1",2825,2815,"HAU-POC29","","ACHI","crab","Actaeodes hirsutissimus","species","10","carapace_width","","","clove","Unknown Crab 150","certain","","Black setae on carapace, big claws with white spots","y","5/22/2020","JC","JC","pizza_crab","209051","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Brachyura","Xanthoidea","Xanthidae","Actaeinae","Actaeodes","Actaeodes hirsutissimus"
"2",1162,1152,"HAU-POC13","HAU04","ALAE","shrimp","Alpheopsis aequalis","species","9","rostrum_to_tail","","","clove","Unknown Shrimp 367","revision_possible","gravid ","Alpheopsis aequalis; red stripes on antennae, small claws","y","30-Oct; 2020-05-11","JC","AP; JC; JC","tiger_alpheid; ALPC","220235","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheopsis","Alpheopsis aequalis"
"3",2777,2767,"HAU-POC25","","ALAE","shrimp","Alpheopsis aequalis","species","8","rostrum_to_tail","","","clove","Unknown Shrimp 722","revision_possible","","Mostly going with ALAE because of the presence of another one on the same colony, but no stripes on antennae","y","31-Oct","AP","AP","possible_ATDJ","220235","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheopsis","Alpheopsis aequalis"
"4",2778,2768,"HAU-POC25","","ALAE","shrimp","Alpheopsis aequalis","species","10","rostrum_to_tail","","","clove","Unknown Shrimp 723","revision_possible","","Stripes on antennae with red stripes","y","31-Oct","AP","AP","possible_ATDJ","220235","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheopsis","Alpheopsis aequalis"
"5",1365,1355,"MAT-POC01","MAT01","ALCL","shrimp","Alpheus clypeatus","species","14","rostrum_to_tail","","","clove","Unknown Shrimp 422","revision_possible","","Alpheus clypeatus; could be bucephalus, but claw doesn't look right; yellow/green dots in circles; Yellow green dots in middle of clear spots. Not sure best way to tell from ALPA or A. beaucephalus ","y","30-Oct; 2020-05-11","JC","AP; JC; JC","blue_pachy; ALPA","210529","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus clypeatus"
"6",1170,1160,"HAU-POC14","HAU05","ALCO","shrimp","Alpheus collumianus","species","16","rostrum_to_tail","","","clove","Unknown Shrimp 375","certain","","Marking on top seems characteristic besides ALPR and no stripes; big dark spots on banded claw","y","30-Oct","AP","AP","3rd_eye_alpheid","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"7",1207,1197,"HAU-POC16","HAU05","ALCO","shrimp","Alpheus collumianus","species","11","rostrum_to_tail","","","smash","Unknown Shrimp 387","certain","in post smash folder","Marking on top seems characteristic besides ALPR and no stripes; big dark spots on banded claw","y","30-Oct","AP","AP","third_eye_alph","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"8",2561,2551,"HAU-POC32","","ALCO","shrimp","Alpheus collumianus","species","13","rostrum_to_tail","","","clove","","certain","","","","","","","","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"9",2562,2552,"HAU-POC32","","ALCO","shrimp","Alpheus collumianus","species","15","rostrum_to_tail","","","clove","","certain","gravid","","","","","","","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"10",2631,2621,"HAU-POC33","","ALCO","shrimp","Alpheus collumianus","species","16","rostrum_to_tail","","","smash","","certain","","","","","","","","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"11",2632,2622,"HAU-POC33","","ALCO","shrimp","Alpheus collumianus","species","16","rostrum_to_tail","","","smash","","certain","gravid","","","","","","","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"12",2723,2713,"HAU-POC35","","ALCO","shrimp","Alpheus collumianus","species","15","rostrum_to_tail","","","clove","","certain","","","","","","","","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"13",1368,1358,"MAT-POC01","MAT01","ALCO","shrimp","Alpheus collumianus","species","17","rostrum_to_tail","","","clove","Unknown Shrimp 425","certain","gravid","Tough call, could be ALDO, but dark spots in blotch look more like ALCO, also looks like they have more red in general","y","30-Oct; 2020-05-11","JC","AP; JC; JC","possible_ALCO; ALDO","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"14",1475,1465,"MAT-POC12","MAT03","ALCO","shrimp","Alpheus collumianus","species","14","rostrum_to_tail","","","clove","Unknown Shrimp 499","certain","","","y","30-Oct","AP","AP","possible_ALCO","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"15",2969,2959,"MAT-POC34","","ALCO","shrimp","Alpheus collumianus","species","18","rostrum_to_tail","","","smash","","certain","","","","","","","","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"16",2148,2138,"MRB-POC33","MRBS3","ALCO","shrimp","Alpheus collumianus","species","13","rostrum_to_tail","","","clove","Unknown Shrimp 668","certain","","Brown spots in white claw patch","y","31-Oct","AP","AP","possible_ALDI","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"17",2151,2141,"MRB-POC33","MRBS3","ALCO","shrimp","Alpheus collumianus","species","14","rostrum_to_tail","","","clove","Unknown Shrimp 671","certain","","Brown spots in white claw patch","y","31-Oct","AP","AP","possible_ALCO","210504","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus collumianus"
"19",1114,1104,"HAU-POC10","HAU04","ALDI","shrimp","Alpheus diadema","species","15","rostrum_to_tail","","","clove","Unknown Shrimp 353","certain","","Thick white stripe, relatively squat claws, white blotch behind eyes, redspots, brown bands on body segments","y","17-Oct","AP","AP","desert_alph","210518","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Alpheoidea","Alpheidae",NA,"Alpheus","Alpheus diadema"
