coral_id,site,haplotype,dna_collection_date
HAU-POC01,HAU,1a_Pm,2019-07-04
HAU-POC02,HAU,8a,2019-07-04
HAU-POC03,HAU,1a_Pe,2019-07-04
HAU-POC04,HAU,1a_Pm,2019-07-05
HAU-POC05,HAU,1a_Pm,2019-07-05
HAU-POC06,HAU,1a_Pe,2019-07-05
HAU-POC07,HAU,3b,2019-07-07
HAU-POC08,HAU,1a_Pe,2019-07-07
HAU-POC09,HAU,1a_Pe,
HAU-POC10,HAU,1a_Pm,2019-07-08
HAU-POC11,HAU,3f,2019-07-08
HAU-POC12,HAU,1a_Pe,2019-07-08
HAU-POC13,HAU,1a_Pe,2019-07-08
HAU-POC14,HAU,Did not amplify,2019-07-09
HAU-POC15,HAU,3b,2019-07-09
HAU-POC16,HAU,8a,2019-07-09
HAU-POC17,HAU,1a_Pe,2019-07-10
HAU-POC18,HAU,1a_Pe,2019-07-10
HAU-POC19,HAU,1a_Pm,2019-07-13
HAU-POC20,HAU,1a_Pe,2019-07-13
HAU-POC21,HAU,1a_Pm,2019-07-13
HAU-POC22,HAU,3b,2019-07-29
HAU-POC23,HAU,1a_Pe,2019-07-29
HAU-POC24,HAU,1a_Pe,2019-07-29
HAU-POC25,HAU,1a_Pe,2019-07-29
HAU-POC26,HAU,1a_Pm,2019-07-30
HAU-POC27,HAU,10,2019-07-30
HAU-POC28,HAU,1a_Pm,2019-07-30
HAU-POC29,HAU,1a_Pe,2019-07-30
HAU-POC30,HAU,1a_Pm,2019-07-31
HAU-POC31,HAU,1a_Pe,2019-07-31
HAU-POC32,HAU,3f,2019-07-31
HAU-POC33,HAU,1a_Pe,2019-07-31
HAU-POC34,HAU,10,2019-12-16
HAU-POC35,HAU,1a_Pe,2019-12-16
HAU-POC36,HAU,1a_Pe,2019-12-16
HAU-POC37,HAU,1a_Pe,2019-12-16
HAU-POC38,HAU,10,2019-12-16
MAT-POC01,MAT,1a_Pm,2019-07-14
MAT-POC02,MAT,1a_Pe,2019-07-14
MAT-POC03,MAT,3b,2019-07-14
MAT-POC04,MAT,1a_Pm,2019-07-14
MAT-POC05,MAT,No sample,2019-07-15
MAT-POC06,MAT,1a_Pe,2019-07-15
MAT-POC07,MAT,Did not amplify,2019-07-15
MAT-POC08,MAT,1a_Pm,2019-07-15
MAT-POC09,MAT,1a_Pe,2019-07-16
MAT-POC10,MAT,1a_Pe,
MAT-POC11,MAT,1a_Pm,2019-07-16
MAT-POC12,MAT,1a_Pm,2019-07-16
MAT-POC13,MAT,1a_Pe,2019-07-18
MAT-POC14,MAT,1a_Pe,2019-07-18
MAT-POC15,MAT,1a_Pm,2019-07-18
MAT-POC16,MAT,1a_Pe,2019-07-18
MAT-POC17,MAT,3h,2019-07-19
MAT-POC18,MAT,Did not amplify,2019-07-19
MAT-POC19,MAT,10,2019-07-19
MAT-POC20,MAT,1a_Pe,2019-07-19
MAT-POC21,MAT,1a_Pm,2019-07-19
MAT-POC22,MAT,1a_Pe,2019-08-04
MAT-POC23,MAT,Did not amplify,2019-08-04
MAT-POC24,MAT,1a_Pe,
MAT-POC25,MAT,1a_Pm,
MAT-POC26,MAT,Did not amplify,2019-08-05
MAT-POC27,MAT,1a_Pm,2019-08-05
MAT-POC28,MAT,1a_Pe,2019-08-05
MAT-POC29,MAT,1a_Pe,2019-08-05
MAT-POC30,MAT,3b,2019-08-06
MAT-POC31,MAT,1a_Pm,2019-08-06
MAT-POC32,MAT,1a_Pe,
MAT-POC33,MAT,1a_Pe,2019-08-06
MAT-POC34,MAT,Did not amplify,2019-08-07
MAT-POC35,MAT,Did not amplify,2019-08-07
MAT-POC36,MAT,No sample,2019-08-07
MAT-POC37,MAT,1a_Pe,2019-08-07
MAT-POC38,MAT,Did not amplify,2019-08-07
MAT-POC39,MAT,1a,2019-08-07
MRB-POC01,MRB,1a_Pm,
MRB-POC02,MRB,1a_Pm,2019-12-16
MRB-POC03,MRB,1a_Pm,2019-12-16
MRB-POC04,MRB,1a_Pm,2019-12-16
MRB-POC05,MRB,1a_Pe,2019-12-16
MRB-POC06,MRB,Did not amplify,2019-12-16
MRB-POC07,MRB,1a_Pm,2019-12-16
MRB-POC08,MRB,1a_Pe,2019-12-16
MRB-POC09,MRB,1a_Pe,2019-12-16
MRB-POC10,MRB,Did not amplify,2019-12-16
MRB-POC11,MRB,1a_Pm,2019-12-16
MRB-POC12,MRB,10,2019-06-29
MRB-POC13,MRB,1a_Pm,2019-06-29
MRB-POC14,MRB,3a,2019-06-30
MRB-POC15,MRB,1a_Pm,2019-06-30
MRB-POC16,MRB,1a_Pe,2019-06-30
MRB-POC17,MRB,1a_Pe,2019-07-01
MRB-POC18,MRB,1a_Pe,2019-07-01
MRB-POC19,MRB,1a_Pm,2019-07-01
MRB-POC20,MRB,1a_Pe,2019-07-01
MRB-POC21,MRB,1a_Pm,2019-07-01
MRB-POC22,MRB,1a_Pe,2019-07-22
MRB-POC23,MRB,1a_Pm,2019-07-22
MRB-POC24,MRB,1a_Pe,2019-07-22
MRB-POC25,MRB,1a_Pe,2019-07-22
MRB-POC26,MRB,3b,2019-07-23
MRB-POC27,MRB,1a_Pm,2019-07-23
MRB-POC28,MRB,1a_Pe,2019-07-23
MRB-POC29,MRB,1a_Pe,2019-07-23
MRB-POC30,MRB,1a_Pe,2019-07-24
MRB-POC31,MRB,1a_Pm,2019-07-24
MRB-POC32,MRB,1a_Pe,2019-07-24
MRB-POC33,MRB,1a_Pe,2019-07-24
MRB-POC34,MRB,10,2019-07-26
MRB-POC35,MRB,10,2019-07-26
MRB-POC36,MRB,1a_Pe,2019-07-26
MRB-POC37,MRB,Did not amplify,2019-07-26
